trajectory_id,track_length,alpha,alpha_err,alpha_r_squared,alpha_p_value,alpha_method,D_generalized,D_original,D_err_original,diffusion_type,radius_of_gyration,r_squared_original,n_time_lags,alpha_powerlaw,alpha_powerlaw_err,alpha_powerlaw_r_squared
2774,16,0.5035733741506477,0.14032208644989916,0.8655800357811722,0.06963446120292471,loglog,0.053877921753148574,0.09000955422127212,0.014767519293595552,sub-diffusion,0.36297406516301967,0.9027953258475592,4,0.4589861384969111,0.15877039741290924,0.839143822253231
2925,16,0.6682454336587915,0.18086095573390246,0.872217229383091,0.06607429129341824,loglog,0.029639561818256086,0.03066220458579605,0.004268560717102299,sub-diffusion,0.16489247258166137,0.9280566546504091,4,0.5293007195477859,0.2009331539986313,0.8279054900613534
3020,21,0.6111788608690948,0.06880849062930224,0.9517465133993562,0.0008875876904307071,loglog,0.0537867150388748,0.03598743268616953,0.006417230609911754,sub-diffusion,0.24972547392233002,0.8397819782374593,6,0.5282085530608922,0.09740652905742016,0.9141869280274822
3032,13,1.406783389487105,0.03191145292750309,0.9989719316855797,0.000514166340723099,loglog,0.31136817331924543,0.24033688788320792,0.008676395079673835,super-diffusion,0.4725576570797561,0.9974002162300185,4,1.3565805521161214,0.02855371876469162,0.9995534061601529
3097,10,0.5308057751292267,0.2686197840345829,0.6612906989551454,0.18680217723167422,loglog,0.028878833886184146,0.03833979546743226,0.011795448846704835,sub-diffusion,0.19932264062198085,0.8408280439786832,4,0.6982622399777346,0.2722373791625551,0.796457868242625
3102,18,1.3142366935313563,0.026845917553973676,0.9987497775952738,1.8768637574834447e-05,loglog,0.19277042173619596,0.18335736453437568,0.005494965646309909,super-diffusion,0.37454982357310146,0.9955294868772037,5,1.3707795526815378,0.0213018849391458,0.9996451817830474
3124,14,0.7140342776151295,0.016452724129321722,0.998939265754935,0.0005305078418176291,loglog,0.016484119569765664,0.01899780933235634,0.0006066044876723124,sub-diffusion,0.11859815001319005,0.9969507072990784,4,0.7252558272987757,0.025779706341542124,0.9981739167257969
3135,13,0.9956641691125975,0.10582318721143404,0.9779065634052939,0.011108416758796591,loglog,0.016758281459020613,0.015425020332124097,0.0017113846411444457,normal,0.10225580003526379,0.9759723545438629,4,0.8771549183260158,0.10749246398907043,0.9815213441992615
3195,15,0.5280148220528469,0.11507476774563039,0.9132466836494337,0.04436058910830088,loglog,0.011031642706955605,0.012861544326215555,0.0009928536943906506,sub-diffusion,0.13618337166224811,0.9824365414571526,4,0.5927979282970679,0.11764823714648422,0.9394341838199767
3216,12,1.2613723389496585,0.06733345261879191,0.9943332102094475,0.0028374203724612643,loglog,0.42773654360933644,0.39312653147319043,0.03983828682869901,super-diffusion,0.5121421317934818,0.9798749382012356,4,1.4057055427983778,0.10370034796139117,0.9943762666773966
3238,10,0.7954073928151267,0.1027673773665632,0.9676928370209456,0.016286201671977363,loglog,0.0843896684782085,0.08193617351474192,0.01609998349616304,sub-diffusion,0.29091753296389733,0.9283155199298416,4,0.6931906300535692,0.12935420116035798,0.9544069448905664
3239,10,0.5890425507793976,0.14368193188202794,0.8936563587447376,0.05466600677605083,loglog,0.05837169966054213,0.05516269256376501,0.018279972316521304,sub-diffusion,0.20641714464937372,0.8199213144844522,4,0.5046497185778098,0.15424767997415054,0.875602196238482
3273,11,1.2514860828825443,0.03482673080812192,0.9984535665409972,0.0007735158929197405,loglog,0.08403357407286736,0.07197520032298466,0.002518208172210123,super-diffusion,0.2563899125746117,0.9975577756668292,4,1.2022328344679392,0.06978791324380908,0.9963730537482025
3301,11,0.6749307127303888,0.21455503747986174,0.8318702273076087,0.08793079905765445,loglog,0.03644187889984522,0.04434710176629753,0.010536509721192225,sub-diffusion,0.19329141975954653,0.8985535155433483,4,0.7736161737392948,0.22683146767101792,0.8872039057700731
3310,10,0.7936772532936861,0.1354579852320549,0.9449496576844443,0.027914788876795882,loglog,0.11729914950747317,0.14351647392772984,0.02212400889429002,sub-diffusion,0.33788361598775474,0.9546279617742404,4,0.9726686263919554,0.19060822352343515,0.9499055770427078
3378,21,0.8388891471473409,0.07986975702916937,0.9650097327474663,0.00046458237455507663,loglog,0.010451156519599382,0.010702361778268953,0.0004116465877759739,sub-diffusion,0.126534348372093,0.9912016135307056,6,0.9301422602781287,0.07256345446800258,0.9856453183537816
3387,11,0.9381804752212576,0.17465599929153952,0.9351785463889217,0.03295369997661345,loglog,0.20218158997122165,0.17632737731496875,0.04487965446400675,normal,0.38519393730869067,0.8852961293721406,4,0.7415543167564386,0.20205872092376911,0.9128238199195543
3390,21,0.8509479804809712,0.036103936152187474,0.9928509697163461,1.9211594437930204e-05,loglog,0.010383781613824986,0.011337034283879763,0.0006665443797049878,sub-diffusion,0.13294265307664313,0.9796813255467303,6,0.8148543218664931,0.04819972239806955,0.9915914800786518
3460,13,0.7063961364962985,0.09799676646882671,0.9629358362207675,0.01870705891626456,loglog,0.03194366684174893,0.03193602551210168,0.007497764486934092,sub-diffusion,0.15427939610073316,0.9007076711448174,4,0.6318191728607266,0.1416274475007652,0.9329951547289521
3521,14,0.6336581782434407,0.08506706350637495,0.9652092133780524,0.017549383745904312,loglog,0.012376507599223431,0.011862543734571903,0.001750128370727934,sub-diffusion,0.12225954213058292,0.9387037392353494,4,0.5995330668534361,0.12772739609116743,0.9366228921541349
3563,17,0.9850013980521263,0.05424765480165192,0.9909827195313808,0.0003644023628986409,loglog,0.02123427426611616,0.023057364564299895,0.0011241995921762382,normal,0.14472985903351696,0.9905807243453609,5,1.0420464830490228,0.08983577136781698,0.9872137110705949
3570,32,1.1200769841287044,0.0318428953959424,0.9943742907744468,3.894977312365995e-09,loglog,0.02679990120315436,0.025717846934827582,0.0004573446841599412,super-diffusion,0.25085372587114885,0.9971619103655911,9,1.00404058118994,0.040213842846833214,0.9943948789988137
3580,12,0.5587952531258356,0.1463961473301299,0.8792966574610946,0.06229180580465508,loglog,0.009567316309598537,0.008653523743103663,0.0034635524908261887,sub-diffusion,0.08518643177874352,0.7573483439087914,4,0.46412211388951174,0.1640177974604395,0.8404387313441413
3604,28,0.7241006000510417,0.028638168074281007,0.9907020551321329,2.520757269787657e-07,loglog,0.012441625261580762,0.012786085928197324,0.00043355709524914575,sub-diffusion,0.1535641224359542,0.9897579029631218,8,0.777402352969356,0.032098891447573594,0.9937390108909538
3608,19,0.5067841943431486,0.05594885029491011,0.9647254720881501,0.0028421064321001977,loglog,0.007614449001801491,0.011162766262131687,0.0011153078228947053,sub-diffusion,0.1332967702634221,0.9524596470295796,5,0.5509022620005719,0.055178677485024336,0.9768581861905675
3648,10,0.46867559476753134,0.12010602535151713,0.8839033501736132,0.05983865737118654,loglog,0.00813741042006451,0.0077471490489975,0.003153470162140951,sub-diffusion,0.08231824737711614,0.7511015068805723,4,0.4318995079595599,0.1637536379208956,0.8126467335654208
3658,12,0.75949328966344,0.08877228407572496,0.9734031830671893,0.013388028114806768,loglog,0.005946611283814158,0.005989353565382181,0.0008908794039972792,sub-diffusion,0.07698110719935654,0.9576255898399775,4,0.6919133164672938,0.09362735679009818,0.9748518427181799
3663,14,0.8292082723188527,0.1071461274772754,0.9676860403723786,0.016289656264417144,loglog,0.017129793857397276,0.018516665668947944,0.0015552708639913655,sub-diffusion,0.14304850887302586,0.9792741630110896,4,0.8430842383815659,0.14650603516549132,0.9611250268463133
3675,12,1.4358844008584128,0.08560285546938626,0.9929418423183328,0.0035353281132678425,loglog,0.2064375628848553,0.16968294246266621,0.01855465300097144,super-diffusion,0.3622945469507129,0.9766441520377904,4,1.5975077256664585,0.07903062448475451,0.9976937426424929
3696,11,0.9633054087450555,0.25623215321870774,0.8760370945812078,0.06403146709880904,loglog,0.134284979022229,0.17089894554243834,0.041011733574909476,normal,0.33865864931672185,0.8967182700714336,4,1.4473905964831422,0.36239178224511615,0.9321285708850029
3743,24,0.9829136034437691,0.014941164662820078,0.9988459974973892,1.5366494432550588e-08,loglog,0.04934549044208615,0.05821205429169662,0.0029154114337649854,normal,0.31593566748254226,0.982745088323832,7,1.0169986958242305,0.03452249514581408,0.9968638919408007
3775,21,0.8632075810275704,0.08020404828105082,0.9666206297495249,0.0004225564995501268,loglog,0.042869505369363965,0.0333181081167405,0.0029316648572836525,sub-diffusion,0.23446167314561334,0.9556085558186715,6,0.7223201286105884,0.08161213859866596,0.9696039209879642
3875,10,1.5469797997995767,0.05440778481201299,0.997532201349168,0.0012346615199504416,loglog,0.40691426051110907,0.30368891005940907,0.036436834927557206,super-diffusion,0.40936374879038817,0.9720149331453208,4,1.6947268423432078,0.09731129955406499,0.9970154158438159
3887,11,0.6515072623354308,0.041997748921024466,0.9917576875337303,0.004129683375525883,loglog,0.09090850938779792,0.1017337091810008,0.006630716085154452,sub-diffusion,0.3340002089111038,0.9915754470418164,4,0.6760709992778838,0.06347825755643989,0.9868949876284699
3919,14,1.1918606548347068,0.1290618561154033,0.9770856533434251,0.011523569657108549,loglog,0.13869936013371295,0.10396897194304455,0.009015704230799811,super-diffusion,0.2963987811323352,0.9779390338569716,4,0.9926354127767525,0.1569492815876855,0.9721362671640952
3926,18,1.2920822740142424,0.01936569732043377,0.9993265356413297,7.419054415186743e-06,loglog,0.0572810125588588,0.06369905038940314,0.005146640801966162,super-diffusion,0.2938151226657884,0.9683915769281658,5,1.2851737462076827,0.023119525617320568,0.9995115468240664
3969,61,0.7020431975025467,0.01807064527484291,0.9895103744581238,2.8920971684292316e-17,loglog,0.007754685710786017,0.005944797515806631,0.00023873443044721373,sub-diffusion,0.17943224441853525,0.9856932732305945,18,0.7937215540217177,0.02622983061744742,0.9903233291823355
3985,23,0.9511632179818824,0.08520671872640709,0.9688988797566467,0.0003665574975524286,loglog,0.006400667324662026,0.006103718970330762,0.00039081881437633245,normal,0.07928799363284092,0.9759918145165644,6,1.049335283586985,0.08431128782806888,0.9858298793709427
4014,19,0.6894705983480087,0.17245439649804542,0.8419714180423155,0.028045361634648717,loglog,0.030961343844112938,0.018123821040230855,0.005236630225340854,sub-diffusion,0.21955222225045748,0.705506695716551,5,0.5088338333767084,0.20190158528177446,0.7576728582475577
4049,26,1.1261453975220688,0.05010003941274771,0.9902010265910005,3.23859195332714e-06,loglog,0.0782367365658616,0.060929515987134385,0.0035709290559515897,super-diffusion,0.3466205404627381,0.9732561373193032,7,0.9863112826321,0.084538792154291,0.981391521509793
